"giorno","data","primo","secondo","contorno","frutta","altro"
"giovedì","24/10/2024","pasta al ragù di lenticchie","stracchino","fagiolini all'olio","frutta","pane bianco"
"venerdì","25/10/2024","pasta al pomodoro con capperi e olive","polpette di nasello","carote alla parmigiana","frutta","pane integrale"
"Lunedì","28/10/2024","pastina in brodo vegetale","caciotta","fagiolini all'olio","frutta","pane bianco"
"martedì","29/10/2024","pasta al ragù bianco","uova strapazzate al pomodoro","finocchi gratinati","frutta","pane integrale"
"mercoledì","30/10/2024","pizza margherita","Prosciutto cotto AQ","insalata mista (lattuga e carote)","frutta","pane bianco"
"giovedì","31/10/2024","risotto con zucca gialla","medaglioni di merluzzo con pomodoro","spinaci al burro","frutta","pane integrale"
"Lunedì","28/10/2024","pastina in brodo vegetale","caciotta","fagiolini all'olio","frutta","pane bianco"
"martedì","29/10/2024","pasta al ragù bianco","uova strapazzate al pomodoro","finocchi gratinati","frutta","pane integrale"
"mercoledì","30/10/2024","pizza margherita","Prosciutto cotto AQ","insalata mista (lattuga e carote)","frutta","pane bianco"
"giovedì","31/10/2024","risotto con zucca gialla","medaglioni di merluzzo con pomodoro","spinaci al burro","frutta","pane integrale"
"Lunedì","04/11/2024","pasta alla pomarola toscana","stracchino","spinaci all’olio","frutta","pane integrale"
"martedì","05/11/2024","riso all'olio","pollo al curry (bocconcini)","insalata mista (lattuga, finocchi, carote)","frutta","pane bianco"
"mercoledì","06/11/2024","pasta con il pesto di cavolo nero","frittata trippata al pomodoro","patate lesse","cioccolato 50%","pane integrale"
"giovedì","07/11/2024","pasta e fagioli","maiale alla milanese (straccetti )","insalata verde","frutta","pane bianco"
"venerdì","08/11/2024","pasta al pesto genovese","polpette di nasello","carote filangè","frutta","pane integrale"
"Lunedì","11/11/2024","ravioli ricotta e spinaci all’olio","uova strapazzate","finocchi gratinati","frutta","pane bianco"
"martedì","12/11/2024","pastina in brodo vegetale","pollo alla cacciatora (bocconcini)","patate lesse","frutta","pane integrale"
"mercoledì","13/11/2024","risotto ai formaggi","fagioli cannellini all’olio","carote all’olio","frutta","pane bianco"
"giovedì","14/11/2024","pasta al pesto genovese","hamburger di nasello","spinaci all’olio","frutta","pane integrale"
"venerdì","15/11/2024","crema autunnale con riso","tacchino al forno (bocconcini)","piselli stufati","frutta","pane bianco"
"Lunedì","18/11/2024","pasta alla pomarola toscana","frittata con il porro","insalata di cavolo cappuccio","frutta","pane integrale"
"martedì","19/11/2024","pasta integrale rosé","medaglioni di merluzzo e patate al limone","carote stufate","frutta","pane bianco"
"mercoledì","20/11/2024","crema di lenticchie con pastina","maiale (arista) al forno","fagiolini all'olio","frutta","pane integrale"
"giovedì","21/11/2024","vellutata di zucca con riso","stracchino e prosciutto cotto","insalata mista (lattuga e finocchi)","frutta","piadina"
"venerdì","22/11/2024","pasta con crema di broccoli","pollo alla salvia (bocconcini)","ceci all’olio (contorno)","frutta","pane integrale"
"Lunedì","25/11/2024","pasta burro e parmigiano","uova strapazzate","insalata mista (lattuga e radicchio rosso)","frutta","pane bianco"
"martedì","26/11/2024","crema invernale con riso","pollo alla cacciatora (bocconcini)","patate lesse","frutta","pane integrale"
"mercoledì","27/11/2024","pasta con la besciamella","bastoncini/sformatino di merluzzo panato","bastoncini di finocchi","frutta","pane bianco"
"giovedì","28/11/2024","pasta al sugo finto","legumi agli aromi","carote all’olio","frutta","pane integrale"
"venerdì","29/11/2024","pastina in brodo vegetale","polpette di vitellone al pomodoro","fagiolini all'olio","frutta","pane bianco"
"Lunedì","02/12/2024","pasta alla carrettiera","caciotta","carote stufate","frutta","pane integrale"
"martedì","03/12/2024","risotto allo zafferano","maiale alla milanese (straccetti )","insalata mista (lattuga e radicchio rosso)","frutta","pane bianco"
"mercoledì","04/12/2024","tortellini in brodo vegetale","uova strapazzate al pomodoro","patate lesse","frutta","pane integrale"
"giovedì","05/12/2024","risotto alla parmigiana","polpette di merluzzo al pomodoro","finocchi stufati","frutta","pane bianco"
"venerdì","06/12/2024","pasta alla pomarola toscana","tacchino al forno (bocconcini)","spinaci all’olio","frutta","pane integrale"
"Lunedì","09/12/2024","spaghetti alla pomarola toscana","lenticchie stufate","carote filangè","frutta","pane bianco"
"martedì","10/12/2024","pasta burro e parmigiano","crocchette di nasello","verza e carote stufata","frutta","pane integrale"
"mercoledì","11/12/2024","pastina in brodo vegetale","spezzatino di vitellone con piselli","patate lesse","frutta","pane bianco"
"giovedì","12/12/2024","risotto con zucca gialla","frittata con le patate","bieta all'olio","frutta","pane integrale"
"Santa Lucia","13/12/2024","Spätzle tirolesi con burro e speck","trentin grana","insalata di cavolo cappuccio","frutta","pane bianco"
"Lunedì","16/12/2024","pasta alla pomarola toscana","Edamer","finocchi e olive nere","frutta","pane integrale"
"martedì","17/12/2024","pasta integrale rosé","uova strapazzate","insalata verde","frutta","pane bianco"
"mercoledì","18/12/2024","vellutata di carote con pastina","polpette di vitellone panate al forno","fagiolini all'olio","frutta","pane integrale"
"giovedì","19/12/2024","risotto alla parmigiana","tortino di filetti di merluzzo in crosta di patate","insalata verde","frutta","pane bianco"
"venerdì","20/12/2024","tortellini in brodo vegetale","Pollo arrosto","patate lesse","pandoro","pane integrale"
"Lunedì","23/12/2024","pasta burro e parmigiano","uova strapazzate al pomodoro","fagiolini all'olio","frutta","pane bianco"
"martedì","07/01/2025","pasta alla pomarola toscana","lenticchie stufate","finocchi bastoncino","frutta","pane integrale"
"mercoledì","08/01/2025","pasta al pesto genovese","stracchino","carote all’olio","frutta","pane bianco"
"giovedì","09/01/2025","pasta olio e parmigiano","polpette di nasello alla livornese","insalata verde","frutta","pane integrale"
"venerdì","10/01/2025","minestra di riso in brodo vegetale","maiale (arista) al forno","patate lesse","frutta","pane bianco"
"Lunedì","13/01/2025","pastina in brodo vegetale","mozzarella","spinaci all’olio","frutta","pane integrale"
"martedì","14/01/2025","risotto con zucca gialla","tacchino hamburger","patate arrosto al rosmarino","frutta","pane bianco"
"mercoledì","15/01/2025","pasta alla pomarola toscana","frittata con il porro","fagiolini all'olio","frutta","pane integrale"
"giovedì","16/01/2025","pasta burro e parmigiano","polpette di merluzzo al pomodoro","insalata verde","frutta","pane bianco"
"venerdì","17/01/2025","polenta al pomodoro","salsiccia","carote all’olio","frutta","pane integrale"
"Lunedì","20/01/2025","pasta integrale rosé","frittata al formaggio","insalata mista (lattuga e radicchio rosso)","frutta","pane bianco"
"martedì","21/01/2025","riso all'olio","bastoncini/sformatino di merluzzo panato","finocchi bastoncino","frutta","pane integrale"
"mercoledì","22/01/2025","pasta e fagioli","vitellone hamburger","bieta all'olio","frutta","pane bianco"
"giovedì","23/01/2025","pasta al sugo finto","polpette di lenticchie","carote all’olio","frutta","pane integrale"
"venerdì","24/01/2025","passato di verdure con pastina","gâteau di patate e formaggio","verza stufata con patate","frutta","pane bianco"
"Lunedì","27/01/2025","pasta con la besciamella","frittata con il porro","spinaci all’olio","frutta","pane integrale"
"martedì","28/01/2025","pasta al pomodoro con capperi e olive","polpette di nasello","carote alla parmigiana","frutta","pane bianco"
"mercoledì","29/01/2025","riso cantonese","pollo al limone (bocconcini)","verdure saltate (zucchine e carote)","frutta","pane integrale"
"giovedì","30/01/2025","pasta olio e parmigiano","fagioli all’uccelletto (secondo)","insalata mista (lattuga e finocchi)","frutta","pane bianco"
"venerdì","31/01/2025","lasagne alla bolognese","caciotta","fagiolini all'olio","frutta","pane integrale"
"Lunedì","03/02/2025","pasta alla pomarola toscana","Edamer","verza e carote stufata","frutta","pane bianco"
"martedì","04/02/2025","risotto con zucca gialla","crocchette di merluzzo","fagiolini all'olio","frutta","pane integrale"
"mercoledì","05/02/2025","pastina in brodo vegetale","maiale alla bolognese (straccetti)","carote alla parmigiana","frutta","pane bianco"
"giovedì","06/02/2025","risotto alla parmigiana","uova strapazzate al pomodoro","zucca e patate al forno","frutta","pane integrale"
"venerdì","07/02/2025","pasta al sugo finto","falafel","insalata verde","frutta","pane bianco"
"Lunedì","10/02/2025","minestra di lenticchie","stracchino","insalata verde","frutta","pane integrale"
"martedì","11/02/2025","risotto con zucca gialla","medaglioni di nasello e patate al limone","purè di patate","frutta","pane bianco"
"mercoledì","12/02/2025","pasta alla sorrentina","frittata di pasta (ditalini)","carote alla parmigiana","frutta","pane integrale"
"giovedì","13/02/2025","spaghetti alla pomarola toscana","crocchette di ceci","finocchi all’olio","frutta","pane bianco"
"venerdì","14/02/2025","pasta burro e parmigiano","maiale alla milanese (straccetti )","spinaci all’olio","frutta","pane integrale"
"Lunedì","17/02/2025","orecchiette al pomodoro","caciotta","finocchi all’olio","frutta","pane bianco"
"martedì","18/02/2025","vellutata di zucca con riso","spezzatino di vitellone con piselli","fagiolini all'olio","frutta","pane integrale"
"mercoledì","19/02/2025","risotto alla parmigiana","uova strapazzate al pomodoro","purè di patate","frutta","pane bianco"
"giovedì","20/02/2025","pizza margherita","Prosciutto cotto AQ","insalata verde","frutta","pane integrale"
"venerdì","21/02/2025","pasta olio e parmigiano","polpette di nasello alla livornese","carote all’olio","frutta","pane bianco"
"Lunedì","24/02/2025","risotto al pomodoro","uova strapazzate","spinaci all’olio","frutta","pane integrale"
"martedì","25/02/2025","pasta e fagioli","pollo alla salvia (bocconcini)","finocchi gratinati","frutta","pane bianco"
"mercoledì","26/02/2025","pasta al pesto genovese","polpette di lenticchie","carote all’olio","frutta","pane integrale"
"giovedì","27/02/2025","lasagne alla bolognese","caciotta","insalata verde","frutta","pane bianco"
"venerdì","28/02/2025","pasta con la besciamella","bastoncini/sformatino di merluzzo panato","piselli stufati","frutta","pane integrale"
"Lunedì","03/03/2025","pasta olio e parmigiano","frittata con il porro","lenticchie in umido (contorno)","frutta","pane bianco"
"martedì","04/03/2025","Pasta alla amatriciana","luganiga al forno","insalata verde","cioccolato 50%","pane integrale"
"mercoledì","05/03/2025","pasta integrale alla pomarola toscana","Edamer","finocchi gratinati","frutta","pane bianco"
"giovedì","06/03/2025","pasta e ceci (minestra)","Pollo arrosto","patate lesse","frutta","pane integrale"
"venerdì","07/03/2025","risotto alla parmigiana","medaglioni di nasello e patate al limone","spinaci all’olio","frutta","pane bianco"
"Lunedì","10/03/2025","pasta al pesto genovese","frittata al formaggio","insalata mista (lattuga, finocchi, carote)","frutta","pane integrale"
"martedì","11/03/2025","ravioli ricotta e spinaci all’olio","vitellone alla pizzaiola (straccetti)","broccolo gratinato","frutta","pane bianco"
"mercoledì","12/03/2025","risotto al pomodoro","legumi agli aromi","spinaci all’olio","frutta","pane integrale"
"giovedì","13/03/2025","vellutata di carote con pastina","tacchino al forno (bocconcini)","patate arrosto al rosmarino","frutta","pane bianco"
"venerdì","14/03/2025","pasta rosé","crocchette di merluzzo","insalata verde","frutta","pane integrale"
"Lunedì","17/03/2025","pasta al sugo finto","mozzarella","insalata verde","frutta","pane bianco"
"martedì","18/03/2025","pasta olio e parmigiano","hamburger di nasello alla livornese","spinaci all’olio","frutta","pane integrale"
"mercoledì","19/03/2025","pasta al ragù","frittata con le patate","carote all’olio","frutta","pane bianco"
"giovedì","20/03/2025","tortellini in brodo vegetale","tacchino al forno (bocconcini)","patate lesse","frutta","pane integrale"
"venerdì","21/03/2025","pasta con la besciamella","crocchette di legumi","insalata mista (lattuga finocchi, carote, mais)","frutta","pane bianco"
"Lunedì","24/03/2025","pasta con la besciamella","uova strapazzate","insalata mista (lattuga e finocchi)","frutta","pane integrale"
"martedì","25/03/2025","pappa al pomodoro","pollo alla cacciatora (bocconcini)","broccolo gratinato","frutta","pane bianco"
"mercoledì","26/03/2025","cous cous con verdure","falafel","fagiolini all'olio","frutta","pane integrale"
"giovedì","27/03/2025","ravioli burro e salvia","caciotta","spinaci all’olio","frutta","pane bianco"
"venerdì","28/03/2025","pasta al sugo finto","polpette di nasello","carote filangè","frutta","pane integrale"
"Lunedì","31/03/2025","minestra di lenticchie","mozzarella","insalata mista (lattuga e finocchi)","frutta","pane bianco"
"martedì","01/04/2025","passato di verdure con riso","Pollo arrosto","patate lesse","cioccolato 50%","pane integrale"
"mercoledì","02/04/2025","pasta al pesto genovese","hamburger di legumi misti","fagiolini all'olio","frutta","pane bianco"
"giovedì","03/04/2025","pasta integrale alla pomarola toscana","frittata di zucchine","insalata verde","frutta","pane integrale"
"venerdì","04/04/2025","pasta burro e parmigiano","tortino di filetti di merluzzo in crosta di patate","carote filangè","frutta","pane bianco"
"Lunedì","07/04/2025","risotto al pomodoro","uova strapazzate con cipolle","insalata verde","frutta","pane integrale"
"martedì","08/04/2025","crema primaverile con riso","saltimbocca alla romana straccetti","spinaci saltati","frutta","pane bianco"
"mercoledì","09/04/2025","pasta olio e parmigiano","polpette di ceci","carote all’olio","frutta","pane integrale"
"giovedì","10/04/2025","bastoncini di finocchi","straccetti di pollo agli aromi","purè di patate","frutta","piadina"
"venerdì","11/04/2025","pasta rosé","polpette di nasello alla livornese","insalata mista (lattuga, carote, cetrioli, mais)","frutta","pane integrale"
"Lunedì","14/04/2025","riso con piselli","stracchino","fagiolini all'olio","frutta","pane bianco"
"martedì","15/04/2025","pasta alla pomarola toscana","medaglioni di merluzzo e patate al limone","insalata verde","frutta","pane integrale"
"mercoledì","16/04/2025","minestra di riso con patate","maiale (arista) al forno","carote alla parmigiana","frutta","pane bianco"
"mercoledì","23/04/2025","risotto con le zucchine","Edamer","fagiolini all'olio","frutta","pane integrale"
"giovedì","24/04/2025","pizza margherita","Prosciutto cotto AQ","insalata mista (lattuga e carote)","frutta","pane bianco"
"Lunedì","28/04/2025","risotto al pomodoro","lenticchie stufate","carote filangè","frutta","pane integrale"
"martedì","29/04/2025","ravioli ricotta e spinaci all’olio","tortino di filetti di merluzzo in crosta di patate","piselli stufati","frutta","pane bianco"
"mercoledì","30/04/2025","pasta al pomodoro con zucchine","tacchino al forno (bocconcini)","insalata verde","frutta","pane integrale"
"venerdì","02/05/2025","pasta burro e parmigiano","uova strapazzate al pomodoro","fagiolini all'olio","frutta","pane bianco"
"Lunedì","05/05/2025","pasta integrale alla pomarola toscana","caciotta","finocchi all’olio","frutta","pane bianco"
"martedì","06/05/2025","riso all'olio","pollo panato (straccetti)","piselli stufati","frutta","pane integrale"
"mercoledì","07/05/2025","pasta con le zucchine","polpette di merluzzo al pomodoro","insalata verde","frutta","pane bianco"
"giovedì","08/05/2025","pasta rosé","uova strapazzate al pomodoro","zucchine trifolate","frutta","pane integrale"
"venerdì","09/05/2025","bruschetta al pomodoro e basilico","maiale alla milanese (straccetti )","spinaci saltati","frutta","pane bianco"
"Lunedì","12/05/2025","spaghetti alla pomarola toscana","uova strapazzate","zucchine trifolate","frutta","pane integrale"
"martedì","13/05/2025","pasta olio e parmigiano","hamburger di nasello alla livornese","insalata verde","frutta","pane bianco"
"mercoledì","14/05/2025","pizza margherita","Prosciutto cotto AQ","carote filangè","frutta","pane integrale"
"giovedì","15/05/2025","risotto alla parmigiana","hamburger di legumi misti","pomodori e basilico","frutta","pane bianco"
"venerdì","16/05/2025","pasta al sugo finto","pollo alla salvia (bocconcini)","fagiolini all'olio","frutta","pane integrale"
"Lunedì","19/05/2025","vellutata di zucchine con riso","uovo sodo","patate lesse","frutta","pane bianco"
"martedì","20/05/2025","pappa al pomodoro","maiale (arista) al forno","zucchine trifolate","frutta","pane integrale"
"mercoledì","21/05/2025","risotto alla parmigiana","crocchette di nasello","insalata mista (lattuga, carote, cetrioli, pomodori, mais)","frutta","pane bianco"
"giovedì","22/05/2025","pasta e ceci (minestra)","polpette di vitellone al pomodoro","insalata verde","frutta","pane integrale"
"venerdì","23/05/2025","spaghetti alla pomarola toscana","caciotta","cannellini all'uccelletto (contorno)","biscotto di frolla","pane bianco"
"Lunedì","26/05/2025","pasta con sugo di pomodoro freddo","mozzarella","carote filangè","frutta","pane integrale"
"martedì","27/05/2025","ravioli ricotta e spinaci all’olio","hamburger di legumi misti","insalata verde","frutta","pane bianco"
"mercoledì","28/05/2025","pasta al pesto di basilico fresco","tacchino al forno (bocconcini)","fagiolini all'olio","frutta","pane integrale"
"giovedì","29/05/2025","bastoncini di carote","stracchino e prosciutto cotto","insalata mista (lattuga, cetrioli, pomodori, olive, mais)","frutta","piadina"
"venerdì","30/05/2025","pasta olio e parmigiano","bastoncini/sformatino di merluzzo panato","zucchine al pomodoro","frutta","pane integrale"
"martedì","03/06/2025","pasta al sugo finto","uova strapazzate con zucchine","pomodori e origano","frutta","pane integrale"
"mercoledì","04/06/2025","pasta al pesto di basilico fresco","vitellone alla pizzaiola (straccetti)","insalata verde","frutta","pane bianco"
"giovedì","05/06/2025","risotto alla parmigiana","polpette di nasello alla livornese","carote filangè","frutta","pane integrale"
"venerdì","06/06/2025","bastoncini di carote","cotoletta di pollo","patate lesse","frutta","panino per burger"
"Lunedì","09/06/2025","pasta integrale alla pomarola toscana","caciotta","pomodori e origano","frutta","pane integrale"
"martedì","10/06/2025","riso all'olio","uovo sodo","pomodori, cetrioli, mais, fagioli","frutta","pane bianco"
"mercoledì","11/06/2025","pasta con sugo di pomodoro freddo","fagioli cannellini all’olio","zucchine trifolate","frutta","pane integrale"
"giovedì","12/06/2025","pasta rosé","crocchette di merluzzo","fagiolini all'olio","frutta","pane bianco"
"venerdì","13/06/2025","pasta al pesto di basilico fresco","tacchino al forno (bocconcini)","carote filangè","frutta","pane integrale"
"Lunedì","16/06/2025","pasta con sugo di pomodoro freddo","frittata al formaggio","zucchine trifolate","frutta","pane bianco"
"martedì","17/06/2025","pasta olio e parmigiano","pollo panato (bocconcini)","fagiolini all'olio","frutta","pane integrale"
"mercoledì","18/06/2025","pasta al sugo finto","insalata di ceci","pomodori e basilico","frutta","pane bianco"
"giovedì","19/06/2025","cous cous con verdure","polpette di vitellone al pomodoro","insalata verde","frutta","pane integrale"
"venerdì","20/06/2025","riso in insalata con pomodorini","medaglioni di nasello e patate al limone","carote filangè","frutta","pane bianco"
"Lunedì","23/06/2025","pasta con le zucchine","lenticchie stufate","zucchine trifolate","frutta","pane integrale"
"mercoledì","25/06/2025","pasta con sugo di pomodoro freddo","stracchino","fagiolini all'olio","frutta","pane integrale"
"giovedì","26/06/2025","pasta al pesto di basilico fresco","tacchino al forno (bocconcini)","pomodori e basilico","frutta","pane bianco"
"venerdì","27/06/2025","risotto al pomodoro","medaglioni di merluzzo e patate al limone","carote filangè","frutta","pane integrale"
"Lunedì","30/06/2025","cous cous con verdure","stracchino","pomodori e basilico","frutta","pane bianco"
