"giorno","data","primo","secondo","contorno","frutta","altro"
"Lunedì","20/10/2025","risotto al burro","lenticchie stufate","bieta all'olio","frutta","pane integrale"
"martedì","21/10/2025","passato di verdure con pastina","maiale (arista) al forno","piselli stufati","frutta","pane bianco"
"mercoledì","22/10/2025","pasta al ragù","frittata","carote filangè","frutta","pane bianco"
"giovedì","23/10/2025","risotto con zucca gialla","tacchino al forno (bocconcini)","insalata verde","cioccolato 50%","pane bianco"
"venerdì","24/10/2025","pasta al sugo finto","medaglioni di merluzzo con pomodoro","fagiolini all'olio","frutta","pane integrale"
"Lunedì","27/10/2025","pasta con ragù di verdure di babbo Fabio","uova strapazzate","insalata mista (lattuga e carote)","frutta","pane integrale"
"martedì","28/10/2025","pasta alla pomarola toscana","tortino di filetti di merluzzo in crosta di patate","insalata di cavolo cappuccio","frutta","pane bianco"
"mercoledì","29/10/2025","crema di zucchine e cannellini con riso","pollo panato (bocconcini)","piselli stufati","biscotto di frolla","pane integrale"
"giovedì","30/10/2025","passato di verdure con pastina","vitellone hamburger","insalata verde","frutta","panino per burger"
"venerdì","31/10/2025","tortellini in brodo vegetale","gâteau di patate e formaggio","spinaci all'olio","frutta","pane bianco porzione ridotta"
"Lunedì","03/11/2025","pasta al pesto genovese","Edamer","finocchi bastoncino","frutta","pane integrale"
"martedì","04/11/2025","crema autunnale con riso","straccetti di pollo agli aromi","fagiolini all'olio","frutta","pane bianco"
"mercoledì","05/11/2025","pasta olio e parmigiano","polpette di merluzzo al pomodoro","insalata mista (lattuga e carote)","frutta","pane integrale"
"giovedì","06/11/2025","risotto al pomodoro","frittata con le patate","bieta all'olio","frutta","pane bianco"
"venerdì","07/11/2025","crema di zucca di mamma Colette","stracchino e prosciutto cotto","Patate arrosto","frutta","pane integrale"
"Lunedì","10/11/2025","pasta al pesto genovese","uova strapazzate","insalata verde","frutta","pane integrale"
"martedì","11/11/2025","spaghetti alla pomarola toscana","sformato di ceci e carote","carote all'olio","frutta","pane integrale"
"mercoledì","12/11/2025","minestra di lenticchie","spezzatino di vitellone con piselli","finocchi gratinati","biscotto di frolla","pane bianco"
"giovedì","13/11/2025","pizza margherita","Prosciutto cotto AQ","insalata mista (mais, lattuga e e carote)","frutta","pane bianco porzione ridotta"
"venerdì","14/11/2025","riso all'olio","bastoncini/sformatino di merluzzo panato","fagiolini all'olio","frutta","pane integrale"
"Lunedì","17/11/2025","pasta al pomodoro olive","lenticchie stufate","spinaci all'olio","frutta","pane integrale"
"martedì","18/11/2025","pasta alla pomarola toscana","polpette di merluzzo","finocchi bastoncino","frutta","pane integrale"
"mercoledì","19/11/2025","risotto con zucca gialla","frittata","piselli stufati","frutta","pane integrale"
"giovedì","20/11/2025","lasagne alla bolognese","Prosciutto cotto AQ","carote filangè","frutta","pane bianco porzione ridotta"
"venerdì","21/11/2025","risotto allo zafferano","maiale (arista) al forno","fagiolini all'olio","frutta","pane bianco"
"Lunedì","24/11/2025","risotto al pomodoro","lenticchie stufate","finocchi gratinati","frutta","pane bianco"
"martedì","25/11/2025","pasta con le alici","bastoncini/sformatino di merluzzo panato","spinaci all'olio","frutta","pane bianco"
"mercoledì","26/11/2025","pasta al ragù di Villa Ramberg","ceci all'olio","insalata mista (mais, lattuga e e carote)","frutta","pane bianco"
"giovedì","27/11/2025","pastina in brodo vegetale","gâteau di patate e formaggio","carote all'olio","frutta","pane integrale"
"venerdì","28/11/2025","crema invernale con riso","pollo al forno agli aromi (bocconcini)","piselli stufati","cioccolato 50%","pane bianco"
"Lunedì","01/12/2025","pasta rosé","uova strapazzate","fagiolini all'olio","frutta","pane integrale"
"martedì","02/12/2025","vellutata di zucca con riso","saltimbocca alla romana straccetti","carote all'olio","frutta","pane bianco"
"mercoledì","03/12/2025","passato di verdure con riso","mozzarella","Patate arrosto","frutta","pane integrale"
"giovedì","04/12/2025","pasta alla pomarola toscana","polpette di merluzzo","finocchi stufati","frutta","pane bianco"
"venerdì","05/12/2025","risotto allo zafferano","frittata con le patate","bieta all'olio","frutta","pane integrale"
"martedì","09/12/2025","pasta al sugo finto","uova strapazzate","fagiolini all'olio","frutta","pane bianco"
"mercoledì","10/12/2025","Pasta alla amatriciana","pollo alla salvia (bocconcini)","finocchi gratinati","frutta","pane integrale"
"giovedì","11/12/2025","risotto con zucca gialla","tortino di filetti di merluzzo in crosta di patate","spinaci all'olio","frutta","pane integrale"
"venerdì","12/12/2025","pizza margherita","Prosciutto cotto AQ","insalata mista (mais, lattuga e e carote)","frutta","pane bianco porzione ridotta"
"Lunedì","15/12/2025","risotto al pomodoro","frittata al formaggio","insalata mista (lattuga e radicchio rosso)","frutta","pane integrale"
"martedì","16/12/2025","passato di verdure con pastina","pollo cremolato (bocconcini)","Patate arrosto","frutta","pane bianco"
"mercoledì","17/12/2025","pasta al sugo finto","medaglioni di merluzzo e patate al limone","finocchi stufati","frutta","pane bianco"
"giovedì","18/12/2025","ravioli ricotta e spinaci all'olio","spezzatino di vitellone","spinaci all'olio","pandoro","pane integrale"
"venerdì","19/12/2025","pasta al ragù con ceci","stracchino","fagiolini all'olio","frutta","pane bianco"
"Lunedì","22/12/2025","pasta al pomodoro olive","uova strapazzate","carote filangè","frutta","pane integrale"
"martedì","23/12/2025","risotto al burro","lenticchie stufate","finocchi stufati","frutta","pane integrale"
"mercoledì","07/01/2026","risotto al pomodoro","caciotta","spinaci all'olio","frutta","pane bianco"
"giovedì","08/01/2026","pasta con ricotta di mamma Alice","fagioli all'uccelletto (secondo)","insalata mista (mais, lattuga e e carote)","frutta","pane integrale"
"venerdì","09/01/2026","vellutata di carote con pastina","maiale (arista) al forno","piselli stufati","frutta","pane bianco"
"Lunedì","12/01/2026","pasta olio e parmigiano","uova strapazzate","finocchi gratinati","frutta","pane bianco"
"martedì","13/01/2026","vellutata di cannellini e verdure con riso","pollo al curry (bocconcini)","pure' di carote di Villa Ramberg","frutta","pane bianco"
"mercoledì","14/01/2026","risotto con zucca gialla","polpette di merluzzo al pomodoro","insalata verde","frutta","pane integrale"
"giovedì","15/01/2026","Polenta all'olio","spezzatino di vitellone al pomodoro","carote filangè","cioccolato 50%","pane bianco"
"venerdì","16/01/2026","pasta al sugo finto","stracchino","piselli stufati","frutta","pane bianco"
"Lunedì","19/01/2026","risotto al burro","Edamer","insalata mista (lattuga e carote)","frutta","pane bianco"
"martedì","20/01/2026","spaghetti alla pomarola toscana","uova strapazzate","bieta all'olio","frutta","pane bianco"
"mercoledì","21/01/2026","pasta al pesto genovese","tacchino al forno (bocconcini)","insalata di cavolo cappuccio","frutta","pane bianco"
"giovedì","22/01/2026","pasta e ceci (minestra)","maiale (arista) al forno","finocchi gratinati","biscotto di frolla","pane integrale"
"venerdì","23/01/2026","risotto al pomodoro","medaglioni di merluzzo e patate al limone","piselli stufati","frutta","pane bianco"
"Lunedì","26/01/2026","pasta olio e parmigiano","frittata al formaggio","spinaci saltati","frutta","pane bianco"
"martedì","27/01/2026","tortelli mugellani burro e salvia","maiale alla milanese (straccetti)","insalata verde","frutta","pane bianco"
"mercoledì","28/01/2026","risotto con zucca gialla","bastoncini/sformatino di merluzzo panato","finocchi bastoncino","frutta","pane integrale"
"giovedì","29/01/2026","pasta al ragù di lenticchie","pollo al forno agli aromi (bocconcini)","carote stufate","frutta","pane bianco"
"venerdì","30/01/2026","minestra di riso in brodo vegetale","mozzarella","Patate arrosto","frutta","pane bianco"
"Lunedì","02/02/2026","risotto al burro","Edamer","verza e carote stufata","frutta","pane bianco"
"martedì","03/02/2026","pasta al pesto genovese","spezzatino di vitellone","fagiolini all'olio","frutta","pane integrale"
"mercoledì","04/02/2026","pizza margherita","Prosciutto cotto AQ","insalata verde","frutta","pane bianco porzione ridotta"
"giovedì","05/02/2026","pasta olio e parmigiano","polpette di merluzzo al pomodoro","broccoli all'olio","frutta","pane integrale"
"venerdì","06/02/2026","pasta alla pomarola toscana","frittata con le patate","finocchi stufati","frutta","pane bianco"
"Lunedì","09/02/2026","pasta burro e parmigiano","lenticchie stufate","carote filangè","frutta","pane integrale"
"martedì","10/02/2026","riso con piselli e prosciutto cotto di babbo Fabio","bocconcini di tacchino al limone di mamma Feffy","broccoli all'olio","frutta","pane bianco"
"mercoledì","11/02/2026","spaghetti alla pomarola toscana","tortino di filetti di merluzzo in crosta di patate","insalata mista (lattuga e radicchio rosso)","frutta","pane bianco"
"giovedì","12/02/2026","vellutata di zucca con riso","spezzatino di vitellone al pomodoro","Patate arrosto","frutta","pane bianco"
"venerdì","13/02/2026","pasta al pesto genovese","frittata con le patate","insalata verde","frutta","pane integrale"
"Lunedì","16/02/2026","pasta al pesto genovese","uova strapazzate","insalata di cavolo cappuccio","frutta","pane bianco"
"martedì","17/02/2026","Spätzle tirolesi con burro e speck","mozzarella","spinaci all'olio","frutta","pane integrale"
"mercoledì","18/02/2026","pasta al sugo finto","medaglioni di merluzzo e patate al limone","pure' di carote di Villa Ramberg","frutta","pane bianco"
"giovedì","19/02/2026","crema invernale con riso","maiale alla milanese (straccetti)","piselli stufati","frutta","pane bianco"
"venerdì","20/02/2026","risotto con zucca gialla","legumi agli aromi","finocchi gratinati","frutta","pane bianco"
"Lunedì","23/02/2026","ravioli ricotta e spinaci all'olio","lenticchie stufate","carote filangè","frutta","pane bianco"
"martedì","24/02/2026","pasta olio e parmigiano","maiale alla milanese (straccetti)","spinaci saltati","frutta","pane integrale"
"mercoledì","25/02/2026","risotto al pomodoro","frittata al formaggio","insalata di cavolo cappuccio","frutta","pane bianco"
"giovedì","26/02/2026","vellutata di carote con pastina","Pollo arrosto","patate lesse","frutta","pane integrale"
"venerdì","27/02/2026","crema invernale con riso","polpette di merluzzo al pomodoro","piselli stufati","frutta","pane bianco"
"Lunedì","02/03/2026","pasta alla pomarola toscana","uova strapazzate","fagiolini all'olio","frutta","pane bianco"
"martedì","03/03/2026","vellutata di carote e piselli","stracchino e prosciutto cotto","carote filangè","frutta","piadina"
"mercoledì","04/03/2026","pasta al sugo finto","fagioli cannellini all'olio","insalata mista (lattuga e radicchio rosso)","frutta","pane bianco"
"giovedì","05/03/2026","riso cantonese","pollo al limone (bocconcini)","piselli stufati","frutta","pane bianco"
"venerdì","06/03/2026","pasta con la besciamella","polpette di merluzzo al pomodoro","insalata mista (lattuga finocchi, carote, mais)","frutta","pane integrale"
"Lunedì","09/03/2026","minestra di lenticchie","mozzarella","spinaci al burro","cioccolato 50%","pane integrale"
"martedì","10/03/2026","spaghetti al ragù","frittata al formaggio","insalata mista (mais, lattuga e e carote)","frutta","pane integrale"
"mercoledì","11/03/2026","riso all'olio","bastoncini/sformatino di merluzzo panato","fagiolini all'olio","frutta","pane bianco"
"giovedì","12/03/2026","spaghetti alla pomarola toscana","maiale alla milanese (straccetti)","finocchi all'olio","frutta","pane bianco"
"venerdì","13/03/2026","crema primaverile con riso","crocchette di ceci","insalata mista (lattuga e carote)","frutta","pane bianco"
"Lunedì","16/03/2026","pasta pomodoro e basilico","Edamer","insalata mista (mais, lattuga e e carote)","frutta","pane bianco"
"martedì","17/03/2026","minestra di riso con patate","pollo panato (bocconcini)","piselli stufati","frutta","pane integrale"
"mercoledì","18/03/2026","pasta al ragù di Villa Ramberg","uova strapazzate","fagiolini all'olio","frutta","pane bianco"
"giovedì","19/03/2026","risotto al pomodoro","medaglioni di merluzzo e patate al limone","broccoli all'olio","frutta","pane bianco"
"venerdì","20/03/2026","pasta alla pomarola toscana","sformato di ceci e carote","bieta all'olio","frutta","pane integrale"
"Lunedì","23/03/2026","pasta olio e parmigiano","lenticchie stufate","finocchi gratinati","frutta","pane integrale"
"martedì","24/03/2026","minestra di riso in brodo vegetale","polpette di vitellone al pomodoro","insalata verde","frutta","pane integrale"
"mercoledì","25/03/2026","pasta con crema di ricotta e carote di mamma Federica","tortino di filetti di merluzzo in crosta di patate","bieta all'olio","frutta","pane integrale"
"giovedì","26/03/2026","pasta al sugo finto","tacchino al forno (bocconcini)","carote stufate","cioccolato 50%","pane integrale"
"venerdì","27/03/2026","riso all'olio","uova strapazzate","fagiolini all'olio","frutta","pane bianco"
"Lunedì","30/03/2026","riso con piselli","Edamer","bieta all'olio","frutta","pane bianco"
"martedì","31/03/2026","pasta al pesto genovese","frittata","insalata mista (lattuga e carote)","frutta","pane integrale"
"mercoledì","01/04/2026","passato di verdure con riso","Pollo arrosto","fagiolini all'olio","cioccolato 50%","pane bianco"
"mercoledì","08/04/2026","pasta olio e parmigiano","uova strapazzate","spinaci al burro","frutta","pane bianco"
"giovedì","09/04/2026","lasagna bianca con verdure","fagioli all'uccelletto (secondo)","insalata mista (lattuga e finocchi)","frutta","pane integrale"
"venerdì","10/04/2026","risotto al pomodoro","maiale alla milanese (straccetti)","piselli stufati","frutta","pane bianco"
"Lunedì","13/04/2026","pasta burro e parmigiano","lenticchie stufate","insalata mista (lattuga e carote)","frutta","pane integrale"
"martedì","14/04/2026","risotto al pomodoro","bastoncini/sformatino di merluzzo panato","pure' di carote di Villa Ramberg","frutta","pane integrale"
"mercoledì","15/04/2026","lasagne alla bolognese","mortadella IGP","insalata verde","frutta","pane bianco"
"giovedì","16/04/2026","pasta con crema di broccoli","frittata","spinaci saltati","frutta","pane integrale"
"venerdì","17/04/2026","crema primaverile con riso","pollo panato (straccetti)","patate lesse","frutta","pane bianco"
"Lunedì","20/04/2026","pasta pomodoro e basilico","Edamer","piselli stufati","frutta","pane bianco"
"martedì","21/04/2026","vellutata di carote con pastina","maiale (arista) al forno","Patate arrosto","frutta","pane bianco"
"mercoledì","22/04/2026","riso cantonese","insalata di ceci","carote filangè","frutta","pane integrale"
"giovedì","23/04/2026","spaghetti alle vongole","insalata russa di pesce","insalata verde","frutta","pane integrale"
"venerdì","24/04/2026","pasta al ragù di Villa Ramberg","uova strapazzate","spinaci saltati","frutta","pane integrale"
"Lunedì","27/04/2026","pasta alla pomarola toscana","frittata di zucchine","fagiolini all'olio","cioccolato 50%","pane integrale"
"martedì","28/04/2026","pasta olio e parmigiano","polpette di merluzzo al pomodoro","spinaci all'olio","frutta","pane bianco"
"mercoledì","29/04/2026","vellutata di carote e piselli","kebab di pollo","insalata mista (mais, lattuga e e carote)","frutta","piadina"
"giovedì","30/04/2026","pasta e fagioli","mozzarella","carote filangè","frutta","pane integrale"
"Lunedì","04/05/2026","riso all'olio","lenticchie stufate","carote filangè","frutta","pane bianco"
"martedì","05/05/2026","cous cous con verdure","mozzarella","pomodori e cetrioli","biscotto di frolla","pane bianco"
"mercoledì","06/05/2026","pasta pomodoro e basilico","bastoncini/sformatino di merluzzo panato","zucchine trifolate","frutta","pane integrale"
"giovedì","07/05/2026","crema primaverile con riso","pollo al forno agli aromi (bocconcini)","patate lesse","frutta","pane bianco"
"venerdì","08/05/2026","spaghetti alla pomarola toscana","uova strapazzate con zucchine","piselli stufati","frutta","pane bianco"
"Lunedì","11/05/2026","pasta con le zucchine","mozzarella","spinaci all'olio","frutta","pane bianco"
"martedì","12/05/2026","tortellini panna e prosciutto cotto","mortadella IGP","zucchine trifolate","frutta","pane integrale"
"mercoledì","13/05/2026","pasta alla pomarola toscana","uova strapazzate","pomodori e basilico","frutta","pane bianco"
"giovedì","14/05/2026","riso all'olio","tortino di filetti di merluzzo in crosta di patate","pure' di carote di Villa Ramberg","frutta","pane integrale"
"venerdì","15/05/2026","crema primaverile con riso","saltimbocca alla romana straccetti","fagiolini all'olio","frutta","pane integrale"
"Lunedì","18/05/2026","pasta pomodoro e basilico","frittata al formaggio","carote filangè","frutta","pane bianco"
"martedì","19/05/2026","pasta al ragù con ceci","pollo panato (bocconcini)","zucchine al pomodoro","frutta","pane integrale"
"mercoledì","20/05/2026","crema primaverile con riso","burger di verdure","pomodori, cetrioli, mais, fagioli","frutta","pane bianco"
"giovedì","21/05/2026","pizza margherita","Prosciutto cotto AQ","insalata mista (lattuga e carote)","frutta","pane bianco porzione ridotta"
"venerdì","22/05/2026","pasta al pesto genovese","medaglioni di merluzzo e patate al limone","insalata verde","frutta","pane integrale"
"Lunedì","25/05/2026","risotto al pomodoro","stracchino","zucchine trifolate","biscotto di frolla","pane bianco"
"martedì","26/05/2026","pasta con le zucchine","tortino di filetti di merluzzo in crosta di patate","piselli stufati","frutta","pane integrale"
"mercoledì","27/05/2026","minestra di riso in brodo vegetale","maiale alla milanese (straccetti)","pomodori e basilico","frutta","pane bianco"
"giovedì","28/05/2026","riso cantonese","ceci all'olio","fagiolini all'olio","frutta","pane bianco"
"venerdì","29/05/2026","pasta con ricotta di mamma Alice","uova strapazzate con zucchine","insalata mista (lattuga e carote)","frutta","pane bianco"
"Lunedì","01/06/2026","riso all'olio","lenticchie stufate","fagiolini all'olio","frutta","pane bianco"
"mercoledì","03/06/2026","pasta con le zucchine","uova strapazzate","insalata mista (lattuga e carote)","frutta","pane integrale"
"giovedì","04/06/2026","spaghetti alla pomarola toscana","bastoncini/sformatino di merluzzo panato","pomodori e origano","frutta","pane bianco"
"venerdì","05/06/2026","minestra di riso in brodo vegetale","cotoletta di pollo","insalata mista (lattuga, cetrioli, pomodori, e mais)","frutta","panino per burger"
"Lunedì","08/06/2026","pasta pomodoro e basilico","caciotta","carote filangè","frutta","pane integrale"
"martedì","09/06/2026","cous cous con verdure","fagioli cannellini all'olio","pomodori e basilico","biscotto di frolla","pane bianco"
"mercoledì","10/06/2026","pasta al ragù di Villa Ramberg","uova strapazzate con zucchine","insalata mista (lattuga e carote)","frutta","pane bianco"
"giovedì","11/06/2026","risotto al pomodoro","pollo al forno agli aromi (bocconcini)","patate lesse","frutta","pane bianco"
"venerdì","12/06/2026","pasta con le zucchine","polpette di merluzzo al pomodoro","bieta all'olio","frutta","pane bianco"
"Lunedì","15/06/2026","pasta con la besciamella","uova strapazzate con zucchine","pomodori e basilico","frutta","pane bianco"
"martedì","16/06/2026","pasta al ragù di lenticchie","pollo panato (bocconcini)","insalata mista (lattuga e carote)","frutta","pane integrale"
"mercoledì","17/06/2026","ravioli ricotta e spinaci burro e salvia","insalata di ceci","zucchine trifolate","frutta","pane bianco"
"giovedì","18/06/2026","pasta pomodoro e basilico","stracchino","carote stufate","frutta","pane bianco"
"venerdì","19/06/2026","risotto con le zucchine","medaglioni di merluzzo e patate al limone","fagiolini all'olio","frutta","pane integrale"
"Lunedì","22/06/2026","pasta al pomodoro con zucchine","lenticchie stufate","insalata verde","frutta","pane bianco"
"martedì","23/06/2026","cous cous con verdure","tacchino al forno (bocconcini)","patate lesse","frutta","pane bianco"
"giovedì","25/06/2026","pasta alla pomarola toscana","bastoncini/sformatino di merluzzo panato","carote filangè","frutta","pane integrale"
"venerdì","26/06/2026","riso con piselli","frittata di zucchine","insalata mista (lattuga e carote)","frutta","pane bianco"
"Lunedì","29/06/2026","pasta pomodoro e basilico","stracchino","carote filangè","frutta","pane integrale"
"martedì","30/06/2026","riso all'olio","pollo panato (bocconcini)","pomodori e basilico","frutta","pane bianco"
